Change Component Comment : Designator=L1 Old Comment=CBC2012T100M New Comment=10uH
Change Managed Component Library Link : Designator=L3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=8DB1645B-1C26-45E7-B112-FB81C936C57C New ItemGUID=732C965F-D139-4EFB-BE9C-35A9CF3F34EE Old RevisionGUID=1D16370A-58AA-4BA7-9069-AECB76152094 New RevisionGUID=3A6ED5D0-0BBA-48EB-8957-3B8986E579F7
Change component parameters: Designator = "L3" ("L3"); Footprint = "FP-LB2518-1_8-0_2-IPC_A"; UniqueID = "\HHBBVKTE" ("\HHBBVKTE")
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "1007"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "2518"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "1007"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Core Material"; Value = "Ferrite"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "480mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Current"; Value = "480mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (DCR)"; Value = "70mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Halogen Free"; Value = "Halogen Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.079inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance"; Value = "2.2uH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Pitch"; Value = "1.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "0.098inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max DC Current"; Value = "480mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
