time,pwm,posLeft,posRight
1,0,-20,164
2,0,-20,164
3,0,-20,164
4,0,-20,164
5,0,-20,164
6,0,-20,164
7,0,-20,164
8,0,-20,164
9,0,-20,164
10,0,-20,164
11,0,-20,164
12,0,-20,164
13,0,-20,164
14,0,-20,164
15,0,-20,164
16,0,-20,164
17,0,-20,164
18,0,-20,164
19,0,-20,164
20,0,-20,164
21,0,-20,164
22,0,-20,164
23,0,-20,164
24,0,-20,164
25,0,-20,164
26,0,-20,164
27,0,-20,164
28,0,-20,164
29,0,-20,164
30,0,-20,164
31,0,-20,164
32,0,-20,164
33,0,-20,164
34,0,-20,164
35,0,-20,164
36,0,-20,164
37,0,-20,164
38,0,-20,164
39,0,-20,164
40,0,-20,164
41,0,-20,164
42,0,-20,164
43,0,-20,164
44,0,-20,164
45,0,-20,164
46,0,-20,164
47,0,-20,164
48,0,-20,164
49,0,-20,164
50,0,-20,164
51,0,-20,164
52,0,-20,164
53,0,-20,164
54,0,-20,164
55,0,-20,164
56,0,-20,164
57,0,-20,164
58,0,-20,164
59,0,-20,164
60,0,-20,164
61,0,-20,164
62,0,-20,164
63,0,-20,164
64,0,-20,164
65,0,-20,164
66,0,-20,164
67,0,-20,164
68,0,-20,164
69,0,-20,164
70,0,-20,164
71,0,-20,164
72,0,-20,164
73,0,-20,164
74,0,-20,164
75,0,-20,164
76,0,-20,164
77,0,-20,164
78,0,-20,164
79,0,-20,164
80,0,-20,164
81,0,-20,164
82,0,-20,164
83,0,-20,164
84,0,-20,164
85,0,-20,164
86,0,-20,164
87,0,-20,164
88,0,-20,164
89,0,-20,164
90,0,-20,164
91,0,-20,164
92,0,-20,164
93,0,-20,164
94,0,-20,164
95,0,-20,164
96,0,-20,164
97,0,-20,164
98,0,-20,164
99,0,-20,164
100,0,-20,164
101,0,-20,164
102,0,-20,164
103,0,-20,164
104,0,-20,164
105,0,-20,164
106,0,-20,164
107,0,-20,164
108,0,-20,164
109,0,-20,164
110,0,-20,164
111,0,-20,164
112,0,-20,164
113,0,-20,164
114,0,-20,164
115,0,-20,164
116,0,-20,164
117,0,-20,164
118,0,-20,164
119,0,-20,164
120,0,-20,164
121,0,-20,164
122,0,-20,164
123,0,-20,164
124,0,-20,164
125,0,-20,164
126,0,-20,164
127,0,-20,164
128,0,-20,164
129,0,-20,164
130,0,-20,164
131,0,-20,164
132,0,-20,164
133,0,-20,164
134,0,-20,164
135,0,-20,164
136,0,-20,164
137,0,-20,164
138,0,-20,164
139,0,-20,164
140,0,-20,164
141,0,-20,164
142,0,-20,164
143,0,-20,164
144,0,-20,164
145,0,-20,164
146,0,-20,164
147,0,-20,164
148,0,-20,164
149,0,-20,164
150,0,-20,164
151,0,-20,164
152,0,-20,164
153,0,-20,164
154,0,-20,164
155,0,-20,164
156,0,-20,164
157,0,-20,164
158,0,-20,164
159,0,-20,164
160,0,-20,164
161,0,-20,164
162,0,-20,164
163,0,-20,164
164,0,-20,164
165,0,-20,164
166,0,-20,164
167,0,-20,164
168,0,-20,164
169,0,-20,164
170,0,-20,164
171,0,-20,164
172,0,-20,164
173,0,-20,164
174,0,-20,164
175,0,-20,164
176,0,-20,164
177,0,-20,164
178,0,-20,164
179,0,-20,164
180,0,-20,164
181,0,-20,164
182,0,-20,164
183,0,-20,164
184,0,-20,164
185,0,-20,164
186,0,-20,164
187,0,-20,164
188,0,-20,164
189,0,-20,164
190,0,-20,164
191,0,-20,164
192,0,-20,164
193,0,-20,164
194,0,-20,164
195,0,-20,164
196,0,-20,164
197,0,-20,164
198,0,-20,164
199,0,-20,164
200,0,-20,164
201,0,-20,164
202,0,-20,164
203,0,-20,164
204,0,-20,164
205,0,-20,164
206,0,-20,164
207,0,-20,164
208,0,-20,164
209,0,-20,164
210,0,-20,164
211,0,-20,164
212,0,-20,164
213,0,-20,164
214,0,-20,164
215,0,-20,164
216,0,-20,164
217,0,-20,164
218,0,-20,164
219,0,-20,164
220,0,-20,164
221,0,-20,164
222,0,-20,164
223,0,-20,164
224,0,-20,164
225,0,-20,164
226,0,-20,164
227,0,-20,164
228,0,-20,164
229,0,-20,164
230,0,-20,164
231,0,-20,164
232,0,-20,164
233,0,-20,164
234,0,-20,164
235,0,-20,164
236,0,-20,164
237,0,-20,164
238,0,-20,164
239,0,-20,164
240,0,-20,164
241,0,-20,164
242,0,-20,164
243,0,-20,164
244,0,-20,164
245,0,-20,164
246,0,-20,164
247,0,-20,164
248,0,-20,164
249,0,-20,164
250,0,-20,164
251,0,-20,164
252,0,-20,164
253,0,-20,164
254,0,-20,164
255,0,-20,164
256,0,-20,164
257,0,-20,164
258,0,-20,164
259,0,-20,164
260,0,-20,164
261,0,-20,164
262,0,-20,164
263,0,-20,164
264,0,-20,164
265,0,-20,164
266,0,-20,164
267,0,-20,164
268,0,-20,164
269,0,-20,164
270,0,-20,164
271,0,-20,164
272,0,-20,164
273,0,-20,164
274,0,-20,164
275,0,-20,164
276,0,-20,164
277,0,-20,164
278,0,-20,164
279,0,-20,164
280,0,-20,164
281,0,-20,164
282,0,-20,164
283,0,-20,164
284,0,-20,164
285,0,-20,164
286,0,-20,164
287,0,-20,164
288,0,-20,164
289,0,-20,164
290,0,-20,164
291,0,-20,164
292,0,-20,164
293,0,-20,164
294,0,-20,164
295,0,-20,164
296,0,-20,164
297,0,-20,164
298,0,-20,164
299,0,-20,164
300,0,-20,164
301,0,-20,164
302,0,-20,164
303,0,-20,164
304,0,-20,164
305,0,-20,164
306,0,-20,164
307,0,-20,164
308,0,-20,164
309,0,-20,164
310,0,-20,164
311,0,-20,164
312,0,-20,164
313,0,-20,164
314,0,-20,164
315,0,-20,164
316,0,-20,164
317,0,-20,164
318,0,-20,164
319,0,-20,164
320,0,-20,164
321,0,-20,164
322,0,-20,164
323,0,-20,164
324,0,-20,164
325,0,-20,164
326,0,-20,164
327,0,-20,164
328,0,-20,164
329,0,-20,164
330,0,-20,164
331,0,-20,164
332,0,-20,164
333,0,-20,164
334,0,-20,164
335,0,-20,164
336,0,-20,164
337,0,-20,164
338,0,-20,164
339,0,-20,164
340,0,-20,164
341,0,-20,164
342,0,-20,164
343,0,-20,164
344,0,-20,164
345,0,-20,164
346,0,-20,164
347,0,-20,164
348,0,-20,164
349,0,-20,164
350,0,-20,164
351,0,-20,164
352,0,-20,164
353,0,-20,164
354,0,-20,164
355,0,-20,164
356,0,-20,164
357,0,-20,164
358,0,-20,164
